title,score,num_users_voted,num_fb_likes,genres,keywords,synopsis,date,budget,gross
The Second Best Exotic Marigold Hotel,6.6,22369,21000.0,comedy__drama,sequel,"The Second Best Exotic Marigold Hotel is the expansionist dream of Sonny (Dev Patel), and it's making more claims on his time than he has available, considering his imminent marriage to the love of his life, Sunaina (Tina Desai). Sonny has his eye on a promising property now that his first venture, The Best Exotic Marigold Hotel for the Elderly and Beautiful, has only a single remaining vacancy - posing a rooming predicament for fresh arrivals Guy (Richard Gere) and Lavinia (Tamsin Greig). Evelyn and Douglas (Judi Dench and Bill Nighy) have now joined the Jaipur workforce, and are wondering where their regular dates for Chilla pancakes will lead, while Norman and Carol (Ronald Pickup and Diana Hardcastle) are negotiating the tricky waters of an exclusive relationship, as Madge (Celia Imrie) juggles two eligible and very wealthy suitors. Perhaps the only one who may know the answers is newly installed co-manager of the hotel, Muriel (Maggie Smith), the keeper of everyone's secrets. As ...",2015-06-19,10000000,33071558
Kit Kittredge: An American Girl,6.7,4719,851.0,drama__family,great depression__girl__house__boarding house__ohio,"'Kit Kittredge: An American Mystery' centers around a young girl living in the struggles of the Great Depression. 10 year old Kit lives in a boarding house her parents own in Cincinnati, Ohio. She has a passion for writing, & dreams of having something of hers put in the local paper someday. With the help of her friends, Sterling & Ruthie, will her dream finally come true?",2008-10-03,10000000,17655201
The Perfect Man,5.5,23527,767.0,comedy__family__romance,perfect man__suitor__secret admirer__moving__e mail,"Teenager Holly Hamilton is tired of moving every time her single mom Jean has another personal meltdown involving yet another second-rate guy. To distract her mother from her latest bad choice, Holly conceives the perfect plan for the perfect man.. an imaginary secret admirer who will romance Jean and boost her shaky self-esteem. When the virtual relationship takes off, Holly finds herself having to produce the suitor, borrowing her friend's charming and handsome Uncle Ben as the face behind the e-mails, notes and gifts. Holly must resort to increasingly desperate measures to keep the ruse alive and protect her mom's newfound happiness, almost missing the real perfect man when he does come along.",2005-08-05,25000000,16247775
Mo' Better Blues,6.5,8295,720.0,drama__music__romance,stage__friend__trumpet__jazz__comeback,"Opens with Bleek as a child learning to play the trumpet, his friends want him to come out and play but mother insists he finish his lessons. Bleek grows into adulthood and forms his own band - The Bleek Gilliam Quartet. The story of Bleek's and Shadow's friendly rivalry on stage which spills into their professional relationship and threatens to tear apart the quartet.",,10000000,16153600
Kung Pow: Enter the Fist,6.2,37901,4700.0,action__comedy,kung fu__chosen one__intentionally bad__stylized violence__comic violence,"Kung Pow: Enter the Fist is a movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together. As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters, one of which is a cow trained in the martial arts.",2002-04-12,10000000,16033556
Tremors,7.1,90070,11000.0,comedy__horror__sci-fi,monster__desert__giant worm__small town__pipe bomb,"A small town gradually becomes aware of a strange creature which picks off people one by one. But what is this creature, and where is it? At the same time, a seismologist is working in the area, she detects _tremors_. The creature lives underground, and can 'pop up' without warning. Trapped in their town, the town-folk have no escape.",,11000000,16667084
Wrong Turn,6.1,87494,4400.0,horror__thriller,west virginia__forest__stupid victim__mountain__road,"Chris Flynn is driving his car for a job interview in another city. However, an accident with a trunk transporting chemical products blocks the highway and Chris looks for an alternative route through the mountains of West Virginia to accomplish his schedule. Due to a lack of attention, he crashes another car parked in the middle of the road with flat tires. Chris meets a group of five friends, who intended to camp in the forest, and they decide to leave the couple Francine and Evan on the place, while Chris, Jessie, Carly and her fianc? Scott tries to find some help. They find a weird cabin in the middle of nowhere, where three violent cannibalistic mountain men with the appearance of monsters live. The two couples try to escape from the mountain men while chased by them.",2003-09-19,12600000,15417771
The Long Riders,7.1,7322,680.0,western,bank__revenge__breasts__famous score__last man standing,"The origins, exploits and the ultimate fate of the Jesse James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of of revenge.",2003-09-19,10000000,[]
The Corruptor,6.0,15358,328.0,action__crime__drama__mystery__thriller,triad__new york__police__chinatown__illegal immigrant,"Nick Chen is one of New York City's most martial police officers and the first Chinese-born immigrant on the force. Chen's job is to keep the peace in Chinatown from a turf war that has broken out between the Triads and the ruthless, and dangerous Fukienese Dragons. Chen teams up with Danny Wallace, who is terribly unaware of this situation. When the Tongs boldly attempt to bribe Wallace, Chen is forced to keep his faithfulness.",1999-05-14,30000000,15156200
Mud,7.4,135286,27000.0,drama,boat__boy__river__14 year old__bounty hunter,"14 year-old Ellis (Tye Sheridan) lives on a makeshift houseboat on the banks of a river in Arkansas with his parents, Mary Lee (Sarah Paulson) and Senior (Ray McKinnon). He sneaks out early one morning to meet his best friend, Neckbone (Jacob Lofland). Neckbone, also 14, lives with his uncle, Galen (Michael Shannon), who makes a hardscrabble living diving for oysters. The two boys set out to an island on the Mississippi River, where Neckbone has discovered an unusual sight-a boat, suspended high in the trees, a remnant of an extreme flood some time in the past. They climb the tree and into the boat only to find fresh bread and fresh footprints. Realizing that they are not the only ones who have discovered the treehouse boat, they decide to leave. When they reach the shore, they find the same footprint in their boat. And that's when they meet Mud (Matthew McConaughey). Mud is a gritty, superstitious character; his clothes are dirty, his tooth is cracked, and he needs help. He tells the...",2013-09-06,10000000,21589307
Reno 911!: Miami,5.9,23928,441.0,comedy__crime,spring break__police__beach__sex scene__vomiting,A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series.,2007-04-27,10000000,20339754
